day,hour,cost,P1,P2,V,T1,T2,H,price,daily_total
1,0,0.0,0.0,0.0,0,21.0,21.0,40.0,4.3112,0.0
1,1,0.0,0.0,0.0,0,19.2594,18.9094,48.7192,3.5247,0.0
1,2,18.1633,3.0,3.0,0,17.5627,17.3741,58.3521,3.0272,18.1633
1,3,18.4954,3.0,3.0,0,19.2729,19.0724,68.14,3.0826,36.6587
1,4,26.4669,3.0,3.0,1,21.0269,20.8747,78.9891,3.3084,63.1256
1,5,8.3846,0.0,0.0,1,22.0257,22.0213,75.2397,4.1923,71.5102
1,6,10.9408,0.0,0.0,1,20.0254,20.0165,71.0359,5.4704,82.451
1,7,18.9925,3.0,0.0,0,18.052,18.1564,65.8046,6.3308,101.4436
1,8,35.2383,0.0,3.0,1,19.916,16.8796,75.0084,7.0477,136.6819
1,9,53.6986,3.0,3.0,1,15.901,19.6713,69.3826,6.7123,190.3805
2,0,0.0,0.0,0.0,0,21.0,21.0,40.0,7.3322,0.0
2,1,0.0,0.0,0.0,0,19.1147,18.9229,47.5383,8.6481,0.0
2,2,47.3076,3.0,3.0,0,17.3023,17.2964,55.1914,7.8846,47.3076
2,3,36.5756,3.0,3.0,0,19.0479,18.9061,64.1959,6.0959,83.8831
2,4,39.3561,3.0,3.0,1,20.6377,20.6635,72.8107,4.9195,123.2392
2,5,36.7561,3.0,3.0,1,21.8216,21.5662,67.9928,4.5945,159.9952
2,6,8.721,0.0,0.0,1,22.7305,22.5953,62.6829,4.3605,168.7163
2,7,10.7186,3.0,0.0,0,20.6594,20.3973,58.2865,3.5729,179.4349
2,8,0.0,0.0,0.0,0,22.2442,19.0299,68.5252,3.3014,179.4349
2,9,7.0113,0.0,0.0,1,18.8054,19.4426,80.1058,3.5057,186.4462
3,0,0.0,0.0,0.0,0,21.0,21.0,40.0,7.648,0.0
3,1,0.0,0.0,0.0,0,19.1544,19.0564,49.0971,8.0177,0.0
3,2,49.652,3.0,3.0,0,17.4652,17.4829,58.4918,8.2753,49.652
3,3,49.8175,3.0,3.0,0,19.1828,19.1071,67.6895,8.3029,99.4695
3,4,61.2341,3.0,3.0,1,20.9056,20.8002,77.2254,7.6543,160.7036
3,5,49.3431,3.0,3.0,1,21.8533,21.7588,71.1475,6.1679,210.0466
3,6,12.4821,0.0,0.0,1,22.8332,22.7066,65.9487,6.2411,222.5287
3,7,14.5017,3.0,0.0,0,20.5173,20.4999,59.4618,4.8339,237.0304
3,8,0.0,0.0,0.0,0,22.0771,19.0008,68.2552,4.2176,237.0304
3,9,8.5784,0.0,0.0,1,18.4495,19.2322,76.328,4.2892,245.6088
4,0,0.0,0.0,0.0,0,21.0,21.0,40.0,3.3048,0.0
4,1,0.0,0.0,0.0,0,19.2454,18.9396,48.8646,3.3821,0.0
4,2,20.7228,3.0,3.0,0,17.5617,17.4205,58.7748,3.4538,20.7228
4,3,24.694,3.0,3.0,0,19.2406,19.1779,68.8538,4.1157,45.4168
4,4,34.8659,3.0,3.0,1,21.048,20.9217,79.7231,4.3582,80.2828
4,5,10.2246,0.0,0.0,1,22.1254,22.048,76.5609,5.1123,90.5074
4,6,10.5516,0.0,0.0,1,20.1071,20.0489,72.3597,5.2758,101.059
4,7,13.1672,3.0,0.0,0,18.2357,18.1292,67.6118,4.3891,114.2262
4,8,20.7845,0.0,3.0,1,20.1503,17.004,78.776,4.1569,135.0107
4,9,32.3516,3.0,3.0,1,16.0934,19.9512,74.4961,4.0439,167.3622
5,0,0.0,0.0,0.0,0,21.0,21.0,40.0,6.7693,0.0
5,1,0.0,0.0,0.0,0,19.2273,19.0401,49.607,7.2249,0.0
5,2,41.1576,3.0,3.0,0,17.5822,17.4918,59.6757,6.8596,41.1576
5,3,52.9194,3.0,3.0,1,19.4041,19.283,71.4287,6.6149,94.077
5,4,45.7815,3.0,3.0,1,20.6141,20.3864,68.9989,5.7227,139.8585
5,5,40.44,3.0,3.0,1,21.6652,21.6271,65.7564,5.055,180.2985
5,6,0.0,0.0,0.0,0,22.8233,22.5527,61.6732,4.0971,180.2985
5,7,14.6665,3.0,0.0,1,21.408,21.198,73.2124,2.9333,194.965
5,8,6.775,0.0,0.0,1,22.2997,19.1747,70.3051,3.3875,201.74
5,9,7.6383,0.0,0.0,1,18.1021,18.9127,66.7643,3.8192,209.3783
6,0,0.0,0.0,0.0,0,21.0,21.0,40.0,6.053,0.0
6,1,0.0,0.0,0.0,0,19.2563,18.9331,48.9048,4.2332,0.0
6,2,14.7966,3.0,3.0,0,17.5262,17.3903,58.1875,2.4661,14.7966
6,3,4.7911,3.0,3.0,0,19.2766,19.0586,68.0493,0.7985,19.5877
6,4,5.2462,3.0,3.0,1,21.0165,20.8382,78.5575,0.6558,24.8339
6,5,9.3742,3.0,3.0,1,22.0288,21.8525,73.6974,1.1718,34.2081
6,6,9.3097,0.0,3.0,1,22.9211,22.8917,68.7748,1.8619,43.5178
6,7,7.2888,3.0,0.0,0,20.6971,23.6961,63.4608,2.4296,50.8066
6,8,6.6354,0.0,0.0,1,24.1357,20.1152,73.4654,3.3177,57.442
6,9,8.7079,0.0,0.0,1,19.3121,20.24,70.2704,4.354,66.1499
7,0,0.0,0.0,0.0,0,21.0,21.0,40.0,7.2675,0.0
7,1,0.0,0.0,0.0,0,19.1803,18.9535,48.4038,11.0119,0.0
7,2,72.0,3.0,3.0,0,17.4406,17.431,57.7335,12.0,72.0
7,3,65.5683,3.0,3.0,0,19.2217,19.1186,68.0056,10.928,137.5683
7,4,74.5892,3.0,3.0,1,20.8902,20.8611,77.5414,9.3236,212.1575
7,5,60.4267,3.0,3.0,1,21.982,21.8224,72.827,7.5533,272.5842
